,Cell Type
0,None
1,Monocytes
2,NK
3,Dendritic Cells
4,Monocytes
5,NK
6,T helpers
7,NK
8,Monocytes
9,None
10,None
11,Monocytes
12,NK
13,Monocytes
14,Monocytes
15,T Cells 
16,NK
17,Monocytes
18,CD8 T Cells
19,NK
20,None
21,None
22,NK
23,Monocytes
24,Monocytes
25,Monocytes
26,NK
27,Monocytes
28,NK
29,T helpers
30,Monocytes
31,Monocytes
32,Monocytes
33,Monocytes
34,Monocytes
35,Monocytes
36,Monocytes
37,None
38,CD8 T Cells
39,Monocytes
40,T Cells
41,T Cells
42,None
43,Monocytes
44,Monocytes
45,Monocytes
46,T Cells
47,T Cells 
48,T Cells
49,NK
50,Monocytes
51,Monocytes
52,NK
53,Monocytes
54,T Cells
55,NK
56,NK
57,T helpers
58,Monocytes
59,NK
60,Monocytes
61,T Cells
62,Monocytes
63,None
64,T Cells
65,None
66,Monocytes
67,Monocytes
68,Monocytes
69,CD8 T Cells
70,T Cells 
71,Monocytes
72,Monocytes
73,None
74,CD8 T Cells
75,Monocytes
76,Monocytes
77,None
78,None
79,Monocytes
80,None
81,None
82,Monocytes
83,Monocytes
84,T helpers
85,NK
86,None
87,T Cells
88,T Cells
89,Monocytes
90,Monocytes
91,None
92,None
93,Monocytes
94,None
95,T Cells
96,NK
97,Monocytes
98,Monocytes
99,Monocytes
100,None
101,None
102,Monocytes
103,Dendritic Cells
104,T Cells 
105,None
106,CD8 T Cells
107,NK
108,None
109,Monocytes
110,Monocytes
111,None
112,Monocytes
113,NK
114,None
115,Monocytes
116,None
117,T helpers
118,None
119,None
120,None
121,NK
122,Monocytes
123,None
124,None
125,Monocytes
126,Monocytes
127,Monocytes
128,Monocytes
129,Monocytes
130,None
131,NK
132,NK
133,Monocytes
134,None
135,None
136,T Cells
137,T helpers
138,T Cells
139,NK
140,None
141,CD8 T Cells
142,None
143,Monocytes
144,Monocytes
145,None
146,Monocytes
147,CD8 T Cells
148,NK
149,T Cells 
150,None
151,None
152,Dendritic Cells
153,NK
154,Monocytes
155,B Cells
156,None
157,NK
158,NK
159,None
160,Monocytes
161,None
162,Monocytes
163,NK
164,NK
165,None
166,Monocytes
167,Monocytes
168,Monocytes
169,Monocytes
170,None
171,Monocytes
172,Monocytes
173,Monocytes
174,T Cells
175,None
176,None
177,T Cells
178,Monocytes
179,Monocytes
180,CD8 T Cells
181,CD8 T Cells
182,Monocytes
183,None
184,None
185,None
186,None
187,B Cells
188,Monocytes
189,None
190,None
191,None
192,NK
193,None
194,Monocytes
195,Monocytes
196,T Cells 
197,None
198,None
199,Monocytes
200,NK
201,None
202,None
203,CD8 T Cells
204,T Cells
205,Monocytes
206,None
207,Monocytes
208,NK
209,T Cells
210,None
211,Dendritic Cells
212,None
213,NK
214,Monocytes
215,T helpers
216,NK
217,None
218,None
219,Monocytes
220,NK
221,None
222,None
223,None
224,CD8 T Cells
225,T Cells 
226,CD8 T Cells
227,None
228,T Cells 
229,Dendritic Cells
230,Monocytes
231,CD8 T Cells
232,None
233,Monocytes
234,NK
235,Dendritic Cells
236,CD8 T Cells
237,Monocytes
238,NK
239,NK
240,CD8 T Cells
241,None
242,None
243,None
244,CD8 T Cells
245,Monocytes
246,NK
247,NK
248,Monocytes
249,T Cells 
250,Monocytes
251,NK
252,CD8 T Cells
253,Monocytes
254,T Cells
255,NK
256,Monocytes
257,CD8 T Cells
258,Monocytes
259,Monocytes
260,None
261,Monocytes
262,Monocytes
263,CD8 T Cells
264,None
265,Monocytes
266,None
267,None
268,NK
269,None
270,None
271,T Cells 
272,NK
273,None
274,None
275,None
276,None
277,None
278,CD8 T Cells
279,NK
280,Monocytes
281,None
282,None
283,Monocytes
284,None
285,None
286,Monocytes
287,CD8 T Cells
288,NK
289,T Cells 
290,None
291,Monocytes
292,T helpers
293,Monocytes
294,Monocytes
295,None
296,T Cells
297,Monocytes
298,T Cells
299,Monocytes
300,NK
301,None
302,CD8 T Cells
303,Monocytes
304,Monocytes
305,Monocytes
306,None
307,None
308,NK
309,NK
310,CD8 T Cells
311,Monocytes
312,Monocytes
313,T Cells
314,Monocytes
315,None
316,None
317,None
318,Monocytes
319,None
320,Monocytes
321,Monocytes
322,NK
323,None
324,Monocytes
325,Monocytes
326,Monocytes
327,Dendritic Cells
328,None
329,None
330,Monocytes
331,None
332,None
333,T Cells 
334,None
335,NK
336,None
337,None
338,T helpers
339,None
340,Monocytes
341,Monocytes
342,NK
343,Monocytes
344,None
345,None
346,NK
347,Monocytes
348,T Cells 
349,Dendritic Cells
350,Monocytes
351,Dendritic Cells
352,None
353,None
354,None
355,NK
356,T Cells
357,Monocytes
358,NK
359,Monocytes
360,NK
361,Monocytes
362,None
363,Monocytes
364,NK
365,T Cells
366,None
367,NK
368,Monocytes
369,NK
370,Monocytes
371,Monocytes
372,Monocytes
373,Monocytes
374,None
375,Monocytes
376,Monocytes
377,NK
378,Monocytes
379,T Cells
380,Monocytes
381,None
382,None
383,None
384,None
385,None
386,None
387,None
388,Monocytes
389,Monocytes
390,None
391,Monocytes
392,Monocytes
393,Monocytes
394,NK
395,NK
396,B Cells
397,Monocytes
398,None
399,None
400,None
401,None
402,None
403,None
404,None
405,Monocytes
406,T Cells
407,None
408,NK
409,None
410,Monocytes
411,Monocytes
412,Monocytes
413,None
414,Monocytes
415,Monocytes
416,None
417,None
418,Monocytes
419,T Cells
420,None
421,None
422,None
423,None
424,None
425,None
426,None
427,T Cells
428,NK
429,None
430,Monocytes
431,None
432,None
433,None
434,Monocytes
435,Monocytes
436,None
437,NK
438,Monocytes
439,Monocytes
440,None
441,None
442,Monocytes
443,NK
444,Monocytes
445,Monocytes
446,Monocytes
447,NK
448,None
449,Monocytes
450,None
451,None
452,NK
453,NK
454,None
455,None
456,None
457,Monocytes
458,CD8 T Cells
459,Monocytes
460,None
461,None
462,NK
463,None
464,None
465,Monocytes
466,Monocytes
467,Monocytes
468,Monocytes
469,Monocytes
470,T Cells
471,Monocytes
472,None
473,Monocytes
474,Monocytes
475,NK
476,None
477,Monocytes
478,Monocytes
479,Monocytes
480,None
481,None
482,None
483,Monocytes
484,T Cells
485,Dendritic Cells
486,None
487,Monocytes
488,T helpers
489,Monocytes
490,NK
491,None
492,None
493,None
494,None
495,None
496,Monocytes
497,Dendritic Cells
498,None
499,None
500,None
501,Monocytes
502,None
503,None
504,T Cells 
505,None
506,None
507,None
508,Monocytes
509,NK
510,NK
511,None
512,Monocytes
513,NK
514,Monocytes
515,CD8 T Cells
516,None
517,Monocytes
518,Monocytes
519,Monocytes
520,Monocytes
521,None
522,CD8 T Cells
523,T Cells
524,None
525,Monocytes
526,None
527,Monocytes
528,Monocytes
529,Monocytes
530,Monocytes
531,NK
532,None
533,NK
534,NK
535,T helpers
536,NK
537,NK
538,Monocytes
539,None
540,None
541,Monocytes
542,Monocytes
543,None
544,None
545,None
546,Dendritic Cells
547,None
548,NK
549,None
550,None
551,None
552,Monocytes
553,NK
554,NK
555,Dendritic Cells
556,None
557,Monocytes
558,NK
559,Monocytes
560,NK
561,NK
562,Monocytes
563,CD8 T Cells
564,None
565,None
566,None
567,Monocytes
568,CD8 T Cells
569,Monocytes
570,None
571,None
572,B Cells
573,Monocytes
574,B Cells
575,None
576,None
577,T Cells 
578,T Cells
579,Monocytes
580,NK
581,CD8 T Cells
582,Monocytes
583,T Cells
584,NK
585,NK
586,Monocytes
587,Monocytes
588,None
589,NK
590,T Cells 
591,None
592,None
593,None
594,Monocytes
595,None
596,Monocytes
597,Monocytes
598,Monocytes
599,NK
600,NK
601,Monocytes
602,Monocytes
603,NK
604,None
605,NK
606,None
607,None
608,Monocytes
609,NK
610,Monocytes
611,NK
612,NK
613,T Cells
614,None
615,Monocytes
616,NK
617,T Cells
618,None
619,NK
620,Monocytes
621,T Cells
622,Monocytes
623,NK
624,Monocytes
625,T Cells
626,NK
627,Monocytes
628,None
629,Monocytes
630,None
631,None
632,Monocytes
633,None
634,Monocytes
635,NK
636,None
637,None
638,NK
639,NK
640,NK
641,Monocytes
642,None
643,Monocytes
644,NK
645,CD8 T Cells
646,Dendritic Cells
647,None
648,NK
649,NK
650,None
651,Monocytes
652,T Cells 
653,Monocytes
654,T helpers
655,NK
656,Monocytes
657,Monocytes
658,None
659,None
660,NK
661,None
662,Monocytes
663,T Cells
664,T Cells 
665,Monocytes
666,CD8 T Cells
667,NK
668,None
669,NK
670,Monocytes
671,None
672,None
673,None
674,T Cells
675,None
676,T Cells 
677,None
678,Monocytes
679,Monocytes
680,None
681,T helpers
682,None
683,None
684,None
685,None
686,None
687,Monocytes
