,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25
GBP5,0.01466201402928993,-0.004261357908371066,-0.0014209824499168847,-0.0004838647698951284,-0.012739329873882049,0.006062633201359475,0.0030428644491770004,-0.00904663612290507,0.07298674114001215,0.01487693793589515,0.1516602180017536,-0.00337093064023778,-0.08810120366947327,-0.011553569195874296,0.008942991627513615,-0.07406817164171951,-0.05620743331266795,0.004770806898947563,0.0075874015203515445,0.02838909222804726,0.007360299093550794,-0.006710083027856087,0.005431655279842624,-0.0038393506289688783,0.005557781843600736
CXCL9,0.003609868988237695,-0.004865630891837871,0.0081918060883715,-0.008006998917639424,-0.010430160197063776,-0.012662601645400106,-0.009383611833405131,0.009418752864689928,0.06799471318615276,-0.011408573017161036,0.15595130066024876,-0.0010298119843633988,-0.0951425424086084,-0.017168981765621597,0.008420554889799441,-0.0419153740601127,-0.07374088374555748,-0.007281798996225146,0.0019116576547211705,0.00901872315894581,0.010888606614085876,-0.008343926088876583,-0.0009250999004804582,0.000959634522214889,0.0011087087039649344
CXCL10,0.002598127354594686,-0.011369459869175301,0.011051460969393858,-0.006325743209332849,-0.002961575017534297,-0.004185541753608142,-0.007815342683372948,0.003875650295995316,0.07629897657008225,-0.0014303058867197957,0.18116489677041633,-0.0016685305707823431,-0.10579950265051652,-0.021006443311577753,0.00437548330517957,-0.057710091266231694,-0.09195672570775046,-0.0055653451501777446,0.003252788837380863,0.007128099798448105,0.009310925029134604,-0.007155737598753414,-0.0006006300487771904,-0.0038130840469126556,0.00349300194847007
TNFSF10,0.03313057791184876,0.0048005600430919915,-0.005907690999424217,-0.011260632182061605,-0.011238012931464906,-0.012936287538624395,-0.01616779266526612,0.008415398413970461,0.05124604621231562,0.006566173407576427,0.09555877481196007,0.0029074703714849566,-0.0537645705784633,-0.00822684375845871,0.0062967598143152895,-0.022851454505118992,-0.05339249085396274,0.0007738406784663103,0.007622420988304908,0.03723917310284665,0.013278517281505557,-0.010082818889198038,0.003502199651598683,0.001985549324181164,0.004816778006906774
GBP4,0.008547134423071848,0.008960271070475447,-0.007039446841738559,-0.0029321622498853575,-0.012863266771280784,-0.004143406420928216,-0.005538194360940133,-0.013938141336694673,0.049354982218769106,0.007067086606626637,0.1094961794804472,0.0070069125863672956,-0.07716946424967572,-0.00017314412800904338,0.017838231117622533,-0.023133232572682304,-0.03830052365743706,-0.0063493479170370105,0.002666969348394952,0.025384658762887296,-0.0025372694504711074,-0.002835474359928784,0.006048472288983355,-0.0018961793068239627,0.00931225371649715
HAPLN3,0.005564205313152601,-0.0029512009293261765,-0.007381289997529814,-0.0020940517520348615,0.0006977513187227142,-0.000685888681092036,0.00039442635091629084,0.0025890361844722004,0.06153753514369452,0.005013099634119013,0.11063492968928178,-0.0037548612289104123,-0.0829360611815304,-0.016946358865076862,0.011631200879005994,-0.02544420726004622,-0.03824853657111837,-0.009584904575531069,0.0010123877374369223,0.043804055454367,0.005129463731122096,-0.00945660854150774,0.0016682890164047958,-0.0006861322815717149,0.00424395500432682
CXCL11,0.007169442823114596,-0.003307779057776812,0.004196184114427931,-0.004507881826168622,0.001656607507610779,-0.009363824594535445,-0.011147379463775222,0.00973315417993985,0.05387144163390081,-0.0005312716115153212,0.1197576102349598,-0.002179942499864591,-0.09243873166362158,-0.021249215803323156,0.0031117110971815186,-0.007507002543111227,-0.05440671537494261,-0.004911612301885786,0.00564728793203196,0.017425470169960943,0.007494724468087657,-0.005479255120466497,-0.0005458859846037966,0.0029959083863088107,0.002567827606450894
GBP1,0.005368290926744801,0.011616352575849418,0.01022252860709461,0.007679845162959641,-0.0142180543514989,0.003408602255751414,0.016502013121956954,-0.005685482523253532,0.04105163169759621,0.010493602590685793,0.09145230678113038,-0.008858379447793444,-0.0475079035259657,-0.006894635284862153,0.014742118115344318,-0.04945399424862096,-0.032514327288895875,-0.001344942991973681,0.00680307069066799,0.008159129322310544,0.0026911087573396977,0.0040113742912578085,0.010930921522066704,-0.0028087595580877827,0.010618400332635846
APOL4,-0.0029123127977114336,-0.011301469464598285,0.006029010191836539,-0.0024280221009613727,-0.010378250878318486,0.00356122987834362,-0.0010138229447493356,-0.004303651338785871,0.03484773463641786,0.006577237395717174,0.09680975404765574,0.00015845267340926488,-0.05097859346221508,-0.009899192236660853,-0.0016379776393105764,-0.06115684899660857,-0.03786236587676444,-0.0024371588174846325,0.004580411178427156,-0.011002030428846723,0.0030414409316754116,-0.0077380885733693006,0.0036389369389661086,-0.002995715048194916,0.0024978900364127764
ETV7,0.003389223981047421,-0.006480821054224922,0.007366215012785187,-0.002631576294866572,8.263577647703233e-05,0.004195498977581973,-0.0009101216921838653,-0.005088899554308903,0.04645212009104313,0.00802600010952006,0.10909756527421789,0.0014876871575192927,-0.05090552930034216,-0.0036836980488961554,0.004263593532022941,-0.05691512343523449,-0.04976015441940376,-0.00520102738733934,0.0019451843480260355,0.005486047839979216,0.002670160195418287,-0.0035977070512569695,0.0021613002042340738,0.0006139742208655564,0.005272321468791537
ANKRD22,-0.004734067319543928,-0.0009593574095972236,0.008273705867271271,0.005241724241363406,0.014466211208207706,0.01596713088262439,0.009139029070186513,-0.011863315634952552,0.03520279449424366,0.006274465720843679,0.0960994735193117,0.004314455780235165,-0.04455989691568578,0.006730579179256904,0.0016006447080921201,-0.060771272407959744,-0.05040737678803664,-0.00909707388678393,0.007749345851679829,-0.008581030490095311,-0.005411604804519658,-0.006630754894461801,0.0002652301131744296,-0.009796797370788621,0.005023598123425327
FCGR1A,-0.005100659736537302,-0.00028873167226903777,0.008792996430104656,0.024582744180254683,0.015382399095339063,0.03409465657237608,0.019585758842090465,0.00868140287361201,0.03151770150701997,0.011178911591626577,0.0874990995083777,0.020372263160294224,-0.0460230466081199,0.011129009427242978,-0.005847525042582864,-0.055422356633750475,-0.040644104609817065,-0.01055302097063213,0.005129178322885064,-0.008537735340096449,-0.005601268891246721,-0.012733453052604982,0.003985751305849821,-0.008611807201973612,0.008224623017396912
TYMS,0.027600735831347565,0.011679962073367772,-0.003911410588700868,-0.002195404499817784,0.007546618163609321,-0.002466626493704857,-6.471098643089482e-05,0.010277284782367682,-0.0056242946249814366,-3.84083949771132e-05,-0.12577894041536977,-0.008197084882212569,0.12513303549516375,-0.007436231825456557,0.003452055983767967,0.15582747902900007,0.06759592699377844,0.020188456471996727,-0.0024758624519321325,0.04495953626165464,0.015403722172342676,0.01093721403677876,-0.0028899794208064548,0.046386059650869435,0.004070071279120347
KIAA0101,0.024948393157771233,0.00851817548325795,-0.0021062717577465936,-0.0015722660754475036,0.004670066459425025,-0.004133221241395638,-0.005492423557846617,0.0072430064183577276,-0.0032076018813790904,0.0002984733343979257,-0.12341717033919272,-0.0015714807091267034,0.106217109480953,0.0018809402107214264,0.004984569509451347,0.163557228144829,0.07144093989877087,-5.8629759511742165e-05,-0.0005374513395073341,0.04877333089984662,0.008522383972541398,0.00587458789181969,-0.0014854133068228003,0.037016649141936545,0.0014108574401736065
