,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30
0,CCR7,CCL2,CRABP2,CCL2,CXCL5,CCL2,MAL,CD79A,PLK1,CBR3,CXCL10,GATA2,TPSAB1,THBS1,FAM131C,GZMA,RP11-753H1,NCCRP1,UBE2C,VPREB3,MT1G,SLC30A3,SORBS1,KLF1,GREM1,IL2RA,HIST1H1B,CCL19,CDCA8,NDRG2
1,MTMR11,SLC39A8,SLC30A3,SLC39A8,IDO1,GPR34,LEF1,HOPX,CCNB1,ENHO,CXCL9,TPSAB1,PRSS57,CXCL5,GADD45A,MS4A6A,CRABP2,CCR7,TOP2A,CD79A,PTGIR,CENPE,CPEB1,NUSAP1,GPC4,LTA,GTSE1,RSAD2,GTSE1,CRABP2
2,MT2A,FCGR1A,TRIM54,CCND1,MT1H,GREM1,SELL,CPNE6,CDC20,GADD45A,GBP5,PRSS57,GATA2,VMO1,ITGB8,NKG7,TRIM54,IDO1,BIRC5,FAM111B,MT1H,CPNE6,ENHO,TPSAB1,BIRC3,GZMB,CDCA8,IFIT1,BIRC5,AK8
3,NCCRP1,NKG7,MT1G,TPSAB1,MT1G,FCGR1A,CAMK4,MS4A1,ASPM,SLC1A2,CXCL11,CXCL10,SLC40A1,CXCL3,CBR3,TNFRSF25,NES,TVP23A,ASPM,HOPX,MT1M,GAL,TRIM54,PRSS57,CCL22,LAG3,CENPF,MED12L,CCNA2,GPC4
4,TVP23A,GZMB,MT1H,GATA2,CXCL3,SLC39A8,OCIAD2,BANK1,TPX2,AC017002.1,HAPLN3,CXCL9,EGFL7,CXCL1,FBN1,GNLY,TAGLN3,FAM131C,CENPF,SLC30A3,DSCC1,AC007880.1,CBR3,GATA2,INHBA,ZBED2,KIF11,YES1,HIST1H1B,CCL22
5,LTA,GPR34,MT1E,GREM1,TVP23A,CD163,LTB,VPREB3,CENPE,AK8,GBP4,CXCL11,EMID1,RAMP1,CPEB1,SPOCK2,AC007880.1,LAD1,TPX2,MS4A1,CD79A,FLT3,CPNE6,CPNE6,SLC1A2,CD40LG,ASPM,CXCL11,ASPM,ENHO
6,EBI3,GZMA,MT1X,PRSS57,INHBA,MS4A6A,LINC00176,GREM1,CENPF,FAM131C,ETV7,HAPLN3,NFE2,IDO1,AC017002.1,CAMK4,SLC30A3,FBN1,CDK1,TYMS,CD79B,CIITA,NREP,TAGLN3,GADD45A,SH2D2A,CDCA3,SIGLEC1,CENPF,CCND1
7,FAM131C,GNLY,S100A16,LINC00176,LAMP3,GZMA,TNFRSF25,OCSTAMP,GBP5,ITGB8,GATA2,SLC40A1,CYTL1,LAMP3,SLC1A2,CD96,TIE1,LAMP3,MKI67,RRM2,CCL2,LXN,HOPX,TYMS,ENHO,ICOS,CCNA2,IL2RA,CDCA3,CCL3
8,IDO1,CTSW,MT1M,EGFL7,OCSTAMP,ADORA3,TSHZ2,TAGLN3,GTSE1,CYP27B1,TNFSF10,GBP5,CD34,CCL22,CCR7,CST7,CCND1,INSM1,NUSAP1,TESC,CDT1,HOPX,EBI3,EMID1,AK8,IFNG,BIRC5,CXCL9,RRM2,CD3D
9,INSM1,MT1X,CXCL10,ITM2A,TNFSF15,GZMK,NELL2,NES,PRC1,ITIH3,TPSAB1,NFE2,FAM117A,CCR7,IDO1,INHBA,GAL,BIRC3,KIAA0101,CD70,THBS1,CRABP2,CYP27B1,SLC40A1,CCR7,NDFIP2,HIST1H4C,GZMB,UBE2C,CYP27B1
